"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
2.290689415E2,6.503662667E1,2.555189833E1,8.222000453E0,1.645566940E0,2.397700043E2,1.700000048E0,1.130000019E1
2.300689415E2,6.503661500E1,2.555185500E1,8.122008307E0,1.626007557E0,2.397100067E2,1.700000048E0,1.150000000E1
2.310689415E2,6.503660667E1,2.555181000E1,8.122015280E0,1.618286610E0,2.370599976E2,1.600000024E0,1.139999962E1
2.320689415E2,6.503659833E1,2.555176500E1,8.322022254E0,1.622404456E0,2.441199951E2,1.600000024E0,1.139999962E1
2.330689415E2,6.503659167E1,2.555172167E1,8.222028545E0,1.659464478E0,2.382700043E2,1.600000024E0,1.139999962E1
2.340689415E2,6.503658333E1,2.555169000E1,8.422034226E0,1.697553873E0,2.401499939E2,1.700000048E0,1.160000038E1
2.350689415E2,6.503657333E1,2.555166167E1,8.422040106E0,1.703215837E0,2.283600006E2,1.700000048E0,1.139999962E1
2.360689415E2,6.503655167E1,2.555163167E1,8.922049801E0,1.726378322E0,2.247200012E2,1.700000048E0,1.169999981E1
2.370689415E2,6.503653500E1,2.555159833E1,9.422058255E0,1.752114415E0,2.372799988E2,1.799999952E0,1.169999981E1
2.380689415E2,6.503651833E1,2.555157667E1,9.322065577E0,1.746452451E0,2.221699982E2,1.700000048E0,1.180000019E1
2.390689415E2,6.503649667E1,2.555155667E1,9.922074304E0,1.729466677E0,2.246499939E2,1.799999952E0,1.180000019E1
2.400689415E2,6.503649000E1,2.555152667E1,9.822079305E0,1.720201612E0,2.231399994E2,1.700000048E0,1.169999981E1
2.410689415E2,6.503647000E1,2.555151333E1,1.022208686E1,1.719172239E0,2.079900055E2,1.799999952E0,1.119999981E1
2.420689415E2,6.503644833E1,2.555150333E1,1.122209462E1,1.743878841E0,2.020899963E2,1.799999952E0,1.130000019E1
2.430689415E2,6.503642667E1,2.555150167E1,1.212210157E1,1.744908333E0,2.106499939E2,1.799999952E0,1.119999981E1
2.440689415E2,6.503641000E1,2.555149667E1,1.242210727E1,1.733584404E0,2.377700043E2,1.799999952E0,1.150000000E1
2.450689415E2,6.503639000E1,2.555149167E1,1.322211403E1,1.738731623E0,2.322799988E2,1.799999952E0,1.130000019E1
2.460689415E2,6.503637500E1,2.555148833E1,1.362211905E1,1.745937824E0,2.137100067E2,1.799999952E0,1.130000019E1
2.470689415E2,6.503635833E1,2.555148500E1,1.402212459E1,1.706304193E0,2.184100037E2,1.799999952E0,1.160000038E1
2.480689415E2,6.503634333E1,2.555148667E1,1.442212913E1,1.666670561E0,2.082899933E2,1.799999952E0,1.139999962E1
2.490689415E2,6.503632167E1,2.555148500E1,1.462213608E1,1.682626963E0,2.005899963E2,1.700000048E0,1.150000000E1
2.500689415E2,6.503630667E1,2.555147333E1,1.472214191E1,1.695495009E0,2.063300018E2,1.700000048E0,1.150000000E1
2.510689415E2,6.503629167E1,2.555145667E1,1.452214823E1,1.663067460E0,2.249600067E2,1.799999952E0,1.119999981E1
2.520689415E2,6.503628167E1,2.555143833E1,1.472215314E1,1.566299677E0,2.268600006E2,1.700000048E0,1.100000000E1
2.530689415E2,6.503626500E1,2.555143000E1,1.532215918E1,1.541593075E0,2.215200043E2,1.700000048E0,1.130000019E1
2.540689415E2,6.503624833E1,2.555142000E1,1.592216537E1,1.558578849E0,2.266000061E2,1.700000048E0,1.119999981E1
2.550689415E2,6.503623667E1,2.555140167E1,1.662217081E1,1.553431630E0,2.339100037E2,1.799999952E0,1.139999962E1
2.560689415E2,6.503622833E1,2.555137333E1,1.692217618E1,1.549828649E0,2.349900055E2,1.700000048E0,1.139999962E1
2.570689415E2,6.503622167E1,2.555133667E1,1.702218183E1,1.605418563E0,2.321600037E2,1.799999952E0,1.119999981E1
2.580689415E2,6.503621000E1,2.555130000E1,1.712218906E1,1.630125284E0,2.330700073E2,1.799999952E0,1.150000000E1
2.590689415E2,6.503620000E1,2.555126167E1,1.682219592E1,1.626007557E0,2.379199982E2,1.799999952E0,1.130000019E1
2.600689415E2,6.503619333E1,2.555122667E1,1.712220142E1,1.589462280E0,2.469400024E2,1.799999952E0,1.130000019E1
2.610689415E2,6.503618167E1,2.555119833E1,1.772220783E1,1.633213639E0,2.343500061E2,1.799999952E0,1.150000000E1
2.620689415E2,6.503617167E1,2.555116500E1,1.842221421E1,1.705789447E0,2.384299927E2,1.799999952E0,1.119999981E1
2.630689415E2,6.503615833E1,2.555113167E1,1.842222164E1,1.704759955E0,2.464400024E2,1.799999952E0,1.110000038E1
2.640689415E2,6.503615000E1,2.555110167E1,1.812222717E1,1.650199413E0,2.548399963E2,1.700000048E0,1.119999981E1
2.650689415E2,6.503614000E1,2.555108167E1,1.822223225E1,1.622404456E0,2.438699951E2,1.700000048E0,1.089999962E1
2.660689415E2,6.503613500E1,2.555104667E1,1.792223723E1,1.632698894E0,2.421499939E2,1.700000048E0,1.100000000E1
2.670689415E2,6.503612667E1,2.555101000E1,1.732224341E1,1.614683628E0,2.395500031E2,1.600000024E0,1.089999962E1
2.680689415E2,6.503611833E1,2.555097500E1,1.692224944E1,1.591006398E0,2.526399994E2,1.700000048E0,1.080000019E1
2.690689415E2,6.503611167E1,2.555093167E1,1.672225575E1,1.595124125E0,2.424799957E2,1.700000048E0,1.119999981E1
2.700689415E2,6.503610000E1,2.555090000E1,1.632226249E1,1.653287768E0,2.284199982E2,1.600000024E0,1.130000019E1
2.710689415E2,6.503608500E1,2.555087167E1,1.652226996E1,1.634757757E0,2.331999969E2,1.700000048E0,1.139999962E1
2.720689415E2,6.503607667E1,2.555084167E1,1.642227549E1,1.618801355E0,2.424199982E2,1.700000048E0,1.130000019E1
2.730689415E2,6.503607000E1,2.555080833E1,1.592228083E1,1.634243011E0,2.378099976E2,1.700000048E0,1.139999962E1
2.740689415E2,6.503606000E1,2.555077000E1,1.572228771E1,1.706818938E0,2.366999969E2,1.700000048E0,1.150000000E1
2.750689415E2,6.503605000E1,2.555074167E1,1.562229361E1,1.753658652E0,2.313200073E2,1.700000048E0,1.150000000E1
2.760689415E2,6.503603500E1,2.555071833E1,1.522230059E1,1.721745849E0,2.373099976E2,1.700000048E0,1.169999981E1
2.770689415E2,6.503602333E1,2.555070000E1,1.472230604E1,1.738216996E0,2.249199982E2,1.700000048E0,1.150000000E1
2.780689415E2,6.503601500E1,2.555066167E1,1.472231239E1,1.776306391E0,2.317799988E2,1.700000048E0,1.160000038E1
2.790689415E2,6.503600500E1,2.555062167E1,1.482231943E1,1.754688025E0,2.364700012E2,1.700000048E0,1.139999962E1
2.800689415E2,6.503599833E1,2.555058500E1,1.492232509E1,1.689833045E0,2.461699982E2,1.700000048E0,1.150000000E1
2.810689415E2,6.503599000E1,2.555055167E1,1.452233096E1,1.700127482E0,2.372299957E2,1.700000048E0,1.150000000E1
2.820689415E2,6.503597833E1,2.555052500E1,1.442233722E1,1.741305232E0,2.216699982E2,1.700000048E0,1.130000019E1
2.830689415E2,6.503596167E1,2.555049167E1,1.462234571E1,1.771159172E0,2.235500031E2,1.700000048E0,1.119999981E1
2.840689415E2,6.503594833E1,2.555046667E1,1.462235233E1,1.748511434E0,2.402100067E2,1.799999952E0,1.139999962E1
2.850689415E2,6.503594167E1,2.555043667E1,1.532235735E1,1.729466677E0,2.335899963E2,1.799999952E0,1.150000000E1
2.860689415E2,6.503593333E1,2.555040833E1,1.562236273E1,1.771673918E0,2.397899933E2,1.700000048E0,1.130000019E1
2.870689415E2,6.503592500E1,2.555037333E1,1.502236876E1,1.775791645E0,2.313200073E2,1.600000024E0,1.160000038E1
2.880689415E2,6.503591333E1,2.555034000E1,1.482237568E1,1.734613895E0,2.402400055E2,1.700000048E0,1.150000000E1
2.890689415E2,6.503590833E1,2.555030333E1,1.452238083E1,1.743878841E0,2.369600067E2,1.600000024E0,1.119999981E1
2.900689415E2,6.503590000E1,2.555026667E1,1.432238702E1,1.785571337E0,2.385899963E2,1.600000024E0,1.139999962E1
2.910689415E2,6.503589000E1,2.555023500E1,1.372239325E1,1.803071976E0,2.218600006E2,1.700000048E0,1.130000019E1
2.920689415E2,6.503587833E1,2.555020667E1,1.342239968E1,1.768070817E0,2.247899933E2,1.700000048E0,1.160000038E1
2.930689415E2,6.503586667E1,2.555017833E1,1.332240612E1,1.736672759E0,2.356499939E2,1.600000024E0,1.169999981E1
2.940689415E2,6.503585833E1,2.555014333E1,1.312241215E1,1.749026060E0,2.356499939E2,1.600000024E0,1.139999962E1
2.950689415E2,6.503585000E1,2.555011167E1,1.292241786E1,1.770129681E0,2.348999939E2,1.500000000E0,1.130000019E1
2.960689415E2,6.503584333E1,2.555008167E1,1.262242288E1,1.746452451E0,2.239600067E2,1.500000000E0,1.139999962E1
2.970689415E2,6.503583333E1,2.555005667E1,1.252242847E1,1.722775221E0,2.348399963E2,1.500000000E0,1.139999962E1
2.980689415E2,6.503582500E1,2.555002667E1,1.262243402E1,1.744908333E0,2.353999939E2,1.500000000E0,1.139999962E1
2.990689415E2,6.503581667E1,2.554999500E1,1.262243973E1,1.755717516E0,2.307299957E2,1.500000000E0,1.130000019E1
3.000689415E2,6.503580500E1,2.554996667E1,1.282244616E1,1.741305232E0,2.281100006E2,1.600000024E0,1.139999962E1
3.010689415E2,6.503579167E1,2.554993667E1,1.302245328E1,1.726893067E0,2.319600067E2,1.700000048E0,1.150000000E1
3.020689415E2,6.503578500E1,2.554990167E1,1.362245880E1,1.736672759E0,2.353999939E2,1.700000048E0,1.169999981E1
3.030689415E2,6.503577500E1,2.554986667E1,1.372246536E1,1.774247527E0,2.328200073E2,1.600000024E0,1.110000038E1
3.040689415E2,6.503576333E1,2.554983333E1,1.432247229E1,1.762408853E0,2.337799988E2,1.700000048E0,1.089999962E1
3.050689415E2,6.503575167E1,2.554980500E1,1.472247872E1,1.738731623E0,2.352299957E2,1.700000048E0,1.110000038E1
3.060689415E2,6.503574167E1,2.554977667E1,1.482248464E1,1.762923598E0,2.329100037E2,1.700000048E0,1.119999981E1
3.070689415E2,6.503573167E1,2.554973667E1,1.452249169E1,1.768585563E0,2.354499969E2,1.700000048E0,1.119999981E1
3.080689415E2,6.503573167E1,2.554968833E1,1.412249641E1,1.772703290E0,2.517400055E2,1.700000048E0,1.119999981E1
3.090689415E2,6.503572833E1,2.554964500E1,1.382250170E1,1.768585563E0,2.379199982E2,1.700000048E0,1.150000000E1
3.100689415E2,6.503572167E1,2.554961000E1,1.342250721E1,1.793292165E0,2.353800049E2,1.600000024E0,1.139999962E1
3.110689415E2,6.503571500E1,2.554956667E1,1.342251355E1,1.807704449E0,2.318899994E2,1.600000024E0,1.100000000E1
3.120689415E2,6.503570500E1,2.554953167E1,1.342252011E1,1.811307549E0,2.357100067E2,1.600000024E0,1.100000000E1
3.130689415E2,6.503570000E1,2.554949500E1,1.362252527E1,1.771159172E0,2.372200012E2,1.500000000E0,1.119999981E1
3.140689415E2,6.503569333E1,2.554946833E1,1.402252998E1,1.780424118E0,2.366399994E2,1.600000024E0,1.110000038E1
3.150689415E2,6.503568167E1,2.554944333E1,1.462253609E1,1.796895266E0,2.354299927E2,1.700000048E0,1.080000019E1
3.160689415E2,6.503567500E1,2.554941333E1,1.482254112E1,1.805130839E0,2.352200012E2,1.700000048E0,1.089999962E1
3.170689415E2,6.503566500E1,2.554938000E1,1.512254753E1,1.809248567E0,2.340700073E2,1.700000048E0,1.110000038E1
3.180689415E2,6.503565000E1,2.554935000E1,1.512255519E1,1.810792804E0,2.289900055E2,1.700000048E0,1.089999962E1
3.190689415E2,6.503563667E1,2.554931667E1,1.572256265E1,1.810792804E0,2.339100037E2,1.700000048E0,1.130000019E1
3.200689415E2,6.503562167E1,2.554929500E1,1.602256949E1,1.776821136E0,2.297799988E2,1.700000048E0,1.130000019E1
3.210689415E2,6.503561333E1,2.554926833E1,1.632257472E1,1.763438344E0,2.335200043E2,1.700000048E0,1.110000038E1
3.220689415E2,6.503560667E1,2.554923167E1,1.672258041E1,1.766526699E0,2.241000061E2,1.700000048E0,1.089999962E1
3.230689415E2,6.503560000E1,2.554920833E1,1.712258479E1,1.773732781E0,2.291499939E2,1.700000048E0,1.080000019E1
3.240689415E2,6.503559000E1,2.554919000E1,1.802258973E1,1.757261634E0,2.416900024E2,1.700000048E0,1.100000000E1
3.250689415E2,6.503558500E1,2.554916667E1,1.882259359E1,1.739246368E0,2.315899963E2,1.700000048E0,1.089999962E1
3.260689415E2,6.503557667E1,2.554914167E1,1.922259866E1,1.743878841E0,2.300899963E2,1.600000024E0,1.060000038E1
3.270689415E2,6.503556500E1,2.554910667E1,1.932260576E1,1.743364215E0,2.261799927E2,1.700000048E0,1.050000000E1
3.280689415E2,6.503555833E1,2.554907000E1,1.892261145E1,1.746452451E0,2.379199982E2,1.700000048E0,1.089999962E1
3.290689415E2,6.503555167E1,2.554903333E1,1.862261714E1,1.747481942E0,2.414900055E2,1.700000048E0,1.080000019E1
3.300689415E2,6.503554333E1,2.554899833E1,1.862262319E1,1.769615054E0,2.411000061E2,1.600000024E0,1.069999981E1
3.310689415E2,6.503553500E1,2.554896333E1,1.862262924E1,1.762408853E0,2.275800018E2,1.700000048E0,1.060000038E1
3.320689415E2,6.503552667E1,2.554893500E1,1.862263464E1,1.746452451E0,2.355099945E2,1.700000048E0,1.069999981E1
3.330689415E2,6.503552000E1,2.554890333E1,1.842263984E1,1.723804712E0,2.424100037E2,1.700000048E0,1.069999981E1
3.340689415E2,6.503551500E1,2.554887167E1,1.832264452E1,1.745423079E0,2.344400024E2,1.600000024E0,1.069999981E1
3.350689415E2,6.503550500E1,2.554883833E1,1.802265093E1,1.787115574E0,2.388699951E2,1.600000024E0,1.080000019E1
3.360689415E2,6.503549333E1,2.554880500E1,1.782265787E1,1.768070817E0,2.404900055E2,1.700000048E0,1.060000038E1
3.370689415E2,6.503548167E1,2.554877500E1,1.792266449E1,1.773218036E0,2.289600067E2,1.700000048E0,1.089999962E1
3.380689415E2,6.503546833E1,2.554874500E1,1.772267163E1,1.803071976E0,2.303800049E2,1.700000048E0,1.119999981E1
3.390689415E2,6.503545333E1,2.554871667E1,1.752267914E1,1.816969395E0,2.318600006E2,1.700000048E0,1.130000019E1
3.400689415E2,6.503544167E1,2.554868667E1,1.752268575E1,1.808219194E0,2.345599976E2,1.700000048E0,1.110000038E1
3.410689415E2,6.503543333E1,2.554865667E1,1.762269132E1,1.785056710E0,2.388300018E2,1.600000024E0,1.119999981E1
3.420689415E2,6.503542500E1,2.554863000E1,1.762269656E1,1.781968355E0,2.284299927E2,1.600000024E0,1.119999981E1
3.430689415E2,6.503541333E1,2.554860667E1,1.772270253E1,1.824690223E0,2.203999939E2,1.600000024E0,1.130000019E1
3.440689415E2,6.503540333E1,2.554858333E1,1.802270797E1,1.815425277E0,2.356900024E2,1.600000024E0,1.089999962E1
3.450689415E2,6.503539500E1,2.554855167E1,1.812271370E1,1.789174438E0,2.335800018E2,1.700000048E0,1.130000019E1
3.460689415E2,6.503538667E1,2.554851500E1,1.832271992E1,1.781968355E0,2.383699951E2,1.700000048E0,1.080000019E1
3.470689415E2,6.503537833E1,2.554847833E1,1.812272615E1,1.782483101E0,2.382899933E2,1.700000048E0,1.069999981E1
3.480689415E2,6.503536833E1,2.554844167E1,1.752273289E1,1.785056710E0,2.316300049E2,1.600000024E0,1.060000038E1
3.490689415E2,6.503535667E1,2.554841167E1,1.722273952E1,1.749026060E0,2.313899994E2,1.500000000E0,1.050000000E1
3.500689415E2,6.503534833E1,2.554838167E1,1.692274509E1,1.742849469E0,2.369400024E2,1.500000000E0,1.019999981E1
3.510689415E2,6.503534000E1,2.554835500E1,1.652275033E1,1.754688025E0,2.356699982E2,1.500000000E0,1.019999981E1
3.520689415E2,6.503533000E1,2.554832500E1,1.632275643E1,1.789174438E0,2.253500061E2,1.500000000E0,1.010000038E1
3.530689415E2,6.503531833E1,2.554829167E1,1.612276338E1,1.771159172E0,2.305599976E2,1.600000024E0,1.030000019E1
3.540689415E2,6.503530833E1,2.554826000E1,1.632276964E1,1.778880000E0,2.392100067E2,1.700000048E0,9.899999619E0
3.550689415E2,6.503529833E1,2.554822833E1,1.632277590E1,1.780424118E0,2.355800018E2,1.700000048E0,1.010000038E1
3.560689415E2,6.503528833E1,2.554819000E1,1.622278282E1,1.794836402E0,2.351999969E2,1.700000048E0,1.000000000E1
3.570689415E2,6.503527833E1,2.554815833E1,1.632278909E1,1.789174438E0,2.369299927E2,1.700000048E0,1.010000038E1
3.580689415E2,6.503526667E1,2.554813000E1,1.632279555E1,1.752629161E0,2.360700073E2,1.700000048E0,1.019999981E1
3.590689415E2,6.503526167E1,2.554810500E1,1.652279958E1,1.760864735E0,2.364900055E2,1.700000048E0,1.050000000E1
3.600689415E2,6.503525667E1,2.554807667E1,1.692280394E1,1.753658652E0,2.487899933E2,1.700000048E0,1.039999962E1
3.610689415E2,6.503525000E1,2.554805000E1,1.732280866E1,1.764982462E0,2.366999969E2,1.700000048E0,1.050000000E1
3.620689415E2,6.503524000E1,2.554802333E1,1.762281444E1,1.752629161E0,2.288000031E2,1.600000024E0,1.050000000E1
3.630689415E2,6.503522500E1,2.554800333E1,1.792282114E1,1.751085043E0,2.269299927E2,1.500000000E0,1.010000038E1
3.640689415E2,6.503521167E1,2.554798000E1,1.802282764E1,1.754688025E0,2.325599976E2,1.500000000E0,1.010000038E1
3.650689415E2,6.503520333E1,2.554795167E1,1.792283305E1,1.750055552E0,2.329299927E2,1.500000000E0,1.010000038E1
3.660689415E2,6.503519500E1,2.554792500E1,1.782283830E1,1.737187505E0,2.350899963E2,1.399999976E0,9.899999619E0
3.670689415E2,6.503518500E1,2.554790000E1,1.792284392E1,1.750570297E0,2.294400024E2,1.500000000E0,9.899999619E0
3.680689415E2,6.503517500E1,2.554787000E1,1.782285002E1,1.745423079E0,2.384900055E2,1.500000000E0,1.000000000E1
3.690689415E2,6.503516833E1,2.554784500E1,1.782285458E1,1.727407813E0,2.359400024E2,1.600000024E0,1.000000000E1
3.700689415E2,6.503516167E1,2.554781833E1,1.772285931E1,1.707333565E0,2.412799988E2,1.500000000E0,1.039999962E1
3.710689415E2,6.503515667E1,2.554779333E1,1.752286334E1,1.676964998E0,2.411499939E2,1.500000000E0,1.069999981E1
3.720689415E2,6.503514667E1,2.554776667E1,1.752286912E1,1.662038088E0,2.330800018E2,1.600000024E0,1.030000019E1
3.730689415E2,6.503513667E1,2.554774000E1,1.732287490E1,1.670788288E0,2.299199982E2,1.600000024E0,1.050000000E1
3.740689415E2,6.503512667E1,2.554771333E1,1.722288068E1,1.645566940E0,2.361699982E2,1.700000048E0,1.100000000E1
3.750689415E2,6.503511667E1,2.554768500E1,1.722288662E1,1.635272503E0,2.255700073E2,1.700000048E0,1.080000019E1
3.760689415E2,6.503511167E1,2.554766500E1,1.732289017E1,1.636816621E0,2.255500031E2,1.700000048E0,1.019999981E1
3.770689415E2,6.503510333E1,2.554763833E1,1.712289542E1,1.606448054E0,2.238500061E2,1.700000048E0,1.050000000E1
3.780689415E2,6.503509667E1,2.554762000E1,1.702289933E1,1.579167724E0,2.166999969E2,1.700000048E0,1.069999981E1
3.790689415E2,6.503508667E1,2.554759833E1,1.722290462E1,1.581226707E0,2.160099945E2,1.700000048E0,1.130000019E1
3.800689415E2,6.503507667E1,2.554757833E1,1.712290975E1,1.593065262E0,2.088999939E2,1.700000048E0,1.100000000E1
3.810689415E2,6.503506667E1,2.554757000E1,1.722291373E1,1.598212481E0,1.987200012E2,1.700000048E0,1.089999962E1
3.820689415E2,6.503505667E1,2.554756333E1,1.732291755E1,1.525121927E0,2.076600037E2,1.799999952E0,1.139999962E1
3.830689415E2,6.503504833E1,2.554755500E1,1.742292101E1,1.437619209E0,2.143999939E2,1.799999952E0,1.089999962E1
3.840689415E2,6.503504333E1,2.554755833E1,1.742292226E1,1.380485058E0,2.288000031E2,1.799999952E0,1.089999962E1
3.850689415E2,6.503503833E1,2.554754833E1,1.732292482E1,1.298644185E0,2.191499939E2,1.799999952E0,1.119999981E1
3.860689415E2,6.503502667E1,2.554756333E1,1.732292704E1,1.194670320E0,2.198300018E2,1.700000048E0,1.039999962E1
3.870689415E2,6.503502833E1,2.554756667E1,1.762292619E1,1.049518585E0,2.482700043E2,1.600000024E0,1.010000038E1
3.880689415E2,6.503502667E1,2.554756500E1,1.812292688E1,9.203233123E-1,2.476499939E2,1.500000000E0,1.010000038E1
3.890689415E2,6.503502500E1,2.554757333E1,1.892292658E1,7.746569514E-1,1.996199951E2,1.399999976E0,9.899999619E0
3.900689415E2,6.503502333E1,2.554758000E1,1.972292646E1,6.315641403E-1,1.635299988E2,1.399999976E0,1.019999981E1
