"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
5.906794145E1,6.503859000E1,2.555228667E1,9.121349072E0,1.639390230E0,1.446999969E2,1.600000024E0,1.169999981E1
6.006794145E1,6.503858000E1,2.555231000E1,8.521349971E0,1.620345592E0,1.479100037E2,1.600000024E0,1.189999962E1
6.106794145E1,6.503857167E1,2.555233500E1,8.221350189E0,1.621889710E0,1.503999939E2,1.600000024E0,1.119999981E1
6.206794145E1,6.503855833E1,2.555235167E1,8.021352766E0,1.635272503E0,1.478899994E2,1.600000024E0,1.100000000E1
6.306794145E1,6.503854500E1,2.555237333E1,8.021354864E0,1.638360858E0,1.475700073E2,1.600000024E0,1.130000019E1
6.406794145E1,6.503853167E1,2.555239667E1,7.821356803E0,1.619830847E0,1.466600037E2,1.500000000E0,1.119999981E1
6.506794145E1,6.503852167E1,2.555241833E1,7.521357859E0,1.617257237E0,1.594600067E2,1.600000024E0,1.139999962E1
6.606794145E1,6.503850667E1,2.555243500E1,7.221360955E0,1.626522183E0,1.575599976E2,1.600000024E0,1.139999962E1
6.706794145E1,6.503849167E1,2.555245500E1,7.421363732E0,1.641449213E0,1.502799988E2,1.600000024E0,1.169999981E1
6.806794145E1,6.503847500E1,2.555247667E1,7.121366869E0,1.627036929E0,1.449799957E2,1.600000024E0,1.119999981E1
6.906794145E1,6.503846667E1,2.555249833E1,7.121367403E0,1.614168882E0,1.515800018E2,1.600000024E0,1.119999981E1
7.006794145E1,6.503845667E1,2.555252000E1,7.421368457E0,1.618286610E0,1.388800049E2,1.600000024E0,1.119999981E1
7.106794145E1,6.503844667E1,2.555254333E1,7.621369352E0,1.613139391E0,1.412100067E2,1.600000024E0,1.130000019E1
7.206794145E1,6.503843500E1,2.555256500E1,7.821370926E0,1.631669402E0,1.489900055E2,1.700000048E0,1.150000000E1
7.306794145E1,6.503842000E1,2.555257500E1,7.621374656E0,1.639904976E0,1.488800049E2,1.700000048E0,1.150000000E1
7.406794145E1,6.503840667E1,2.555259167E1,7.621377228E0,1.646596432E0,1.455399933E2,1.700000048E0,1.150000000E1
7.506794145E1,6.503840000E1,2.555261333E1,7.421377239E0,1.664096951E0,1.411600037E2,1.700000048E0,1.210000038E1
7.606794145E1,6.503838667E1,2.555264167E1,7.321378695E0,1.686229944E0,1.436000061E2,1.700000048E0,1.200000000E1
7.706794145E1,6.503837333E1,2.555266833E1,7.521380309E0,1.716083884E0,1.389600067E2,1.600000024E0,1.200000000E1
7.806794145E1,6.503836000E1,2.555270333E1,7.521381126E0,1.737187505E0,1.386199951E2,1.600000024E0,1.200000000E1
7.906794145E1,6.503834667E1,2.555273333E1,7.421382421E0,1.748511434E0,1.464799957E2,1.600000024E0,1.200000000E1
8.006794145E1,6.503833333E1,2.555275000E1,7.021384990E0,1.754173279E0,1.428699951E2,1.600000024E0,1.180000019E1
8.106794145E1,6.503832000E1,2.555277833E1,7.021386443E0,1.798439503E0,1.407299957E2,1.600000024E0,1.200000000E1
8.206794145E1,6.503830333E1,2.555280167E1,7.121389414E0,1.815940022E0,1.388300018E2,1.600000024E0,1.180000019E1
8.306794145E1,6.503829000E1,2.555282833E1,7.121391025E0,1.787115574E0,1.370899963E2,1.600000024E0,1.160000038E1
8.406794145E1,6.503828000E1,2.555284500E1,6.921392552E0,1.750570297E0,1.564100037E2,1.600000024E0,1.169999981E1
8.506794145E1,6.503826667E1,2.555286333E1,6.821394960E0,1.776306391E0,1.377100067E2,1.600000024E0,1.150000000E1
8.606794145E1,6.503825667E1,2.555289167E1,7.121395369E0,1.738731623E0,1.491799927E2,1.600000024E0,1.160000038E1
8.706794145E1,6.503824333E1,2.555290500E1,7.221398255E0,1.641449213E0,1.624299927E2,1.600000024E0,1.130000019E1
8.806794145E1,6.503823167E1,2.555291833E1,6.721400620E0,1.591521144E0,1.453899994E2,1.600000024E0,1.130000019E1
8.906794145E1,6.503821833E1,2.555293833E1,6.421402866E0,1.587403297E0,1.480200043E2,1.700000048E0,1.169999981E1
9.006794145E1,6.503820167E1,2.555296333E1,6.121405674E0,1.586373925E0,1.436100006E2,1.799999952E0,1.219999981E1
9.106794145E1,6.503818667E1,2.555298167E1,5.821408599E0,1.563211441E0,1.526999969E2,1.899999976E0,1.269999981E1
9.206794145E1,6.503817167E1,2.555299167E1,5.621412322E0,1.548799157E0,1.609900055E2,2.000000000E0,1.319999981E1
9.306794145E1,6.503815333E1,2.555300167E1,5.221417085E0,1.610051155E0,1.602700043E2,2.200000048E0,1.350000000E1
9.406794145E1,6.503813667E1,2.555300667E1,4.921421806E0,1.697553873E0,1.625800018E2,2.299999952E0,1.380000019E1
9.506794145E1,6.503812000E1,2.555300500E1,4.821427166E0,1.719172239E0,1.683600006E2,2.500000000E0,1.410000038E1
9.606794145E1,6.503811500E1,2.555304833E1,4.321424574E0,1.770129681E0,9.395999908E1,2.599999905E0,1.419999981E1
9.706794145E1,6.503810167E1,2.555305833E1,3.821427776E0,1.804616094E0,1.006800003E2,2.700000048E0,1.460000038E1
9.806794145E1,6.503809000E1,2.555307167E1,4.921430138E0,1.802042484E0,1.339499969E2,2.400000095E0,1.260000038E1
9.906794145E1,6.503807833E1,2.555310833E1,5.521430263E0,1.769615054E0,1.448600006E2,2.200000048E0,1.260000038E1
1.000679415E2,6.503807333E1,2.555313667E1,5.621429107E0,1.716598630E0,1.353600006E2,2.200000048E0,1.300000000E1
1.010679415E2,6.503806667E1,2.555315167E1,5.721429749E0,1.661523342E0,1.430099945E2,2.200000048E0,1.330000019E1
1.020679415E2,6.503805667E1,2.555317500E1,5.521430631E0,1.612624764E0,1.405299988E2,2.200000048E0,1.310000038E1
1.030679415E2,6.503804833E1,2.555319500E1,5.321431313E0,1.536960602E0,1.424100037E2,2.400000095E0,1.330000019E1
1.040679415E2,6.503803833E1,2.555321333E1,5.021432674E0,1.455634475E0,1.337200012E2,2.500000000E0,1.350000000E1
1.050679415E2,6.503802667E1,2.555322833E1,4.821434874E0,1.383573294E0,1.407700043E2,2.500000000E0,1.369999981E1
1.060679415E2,6.503801833E1,2.555326000E1,4.721434436E0,1.322836161E0,1.446699982E2,2.299999952E0,1.169999981E1
1.070679415E2,6.503800833E1,2.555329833E1,3.721433878E0,1.286290884E0,1.561000061E2,2.099999905E0,1.180000019E1
1.080679415E2,6.503799667E1,2.555334500E1,3.721433040E0,1.281143665E0,1.537599945E2,2.000000000E0,1.169999981E1
1.090679415E2,6.503797333E1,2.555337000E1,3.721437916E0,1.342910290E0,1.426100006E2,1.899999976E0,1.100000000E1
1.100679415E2,6.503795167E1,2.555340000E1,3.721441792E0,1.387691140E0,1.546399994E2,1.899999976E0,1.100000000E1
1.110679415E2,6.503793667E1,2.555343333E1,4.021443269E0,1.434530854E0,1.492100067E2,1.799999952E0,1.100000000E1
1.120679415E2,6.503792000E1,2.555347500E1,4.421444465E0,1.457693338E0,1.493399963E2,1.799999952E0,1.150000000E1
1.130679415E2,6.503790500E1,2.555351167E1,5.321445621E0,1.513283372E0,1.496100006E2,1.700000048E0,1.150000000E1
1.140679415E2,6.503789333E1,2.555354833E1,6.121445737E0,1.554461122E0,1.472899933E2,1.700000048E0,1.200000000E1
1.150679415E2,6.503787833E1,2.555356500E1,6.721448811E0,1.581741333E0,1.492299957E2,1.700000048E0,1.210000038E1
1.160679415E2,6.503786667E1,2.555359000E1,6.721450046E0,1.617771983E0,1.468699951E2,1.799999952E0,1.260000038E1
1.170679415E2,6.503785333E1,2.555361000E1,6.721452279E0,1.674906135E0,1.401399994E2,1.899999976E0,1.289999962E1
